Address,Municipality,Locality,LAT,LONG,Updated,Zip,Distance Breaks,Distance Rank ,Distance
6430 BLENHEIM RD,Powhatan County,POWHATAN,37.52466187,-78.10335844,2019-06-04,23139,1.0 - 2.0 Mile,470,1.52
6454 BLENHEIM RD,Powhatan County,POWHATAN,37.52793276,-78.104247,2019-06-04,23139,1.0 - 2.0 Mile,387,1.29
6455 BLENHEIM RD,Powhatan County,POWHATAN,37.52539102,-78.1094836,2019-06-04,23139,1.0 - 2.0 Mile,417,1.39
6500 BLENHEIM RD,Powhatan County,POWHATAN,37.53375593,-78.10475864,2019-06-04,23139,0.50 - 1.0 Mile,287,0.90
215 FRENCHS STORE RD,Powhatan County,POWHATAN,37.52107107,-78.11154477,2019-06-04,23040,1.0 - 2.0 Mile,514,1.66
1203 FLIPPEN RD,Powhatan County,POWHATAN,37.48298216,-78.11805702,2019-06-04,23139,3.0 - 5.0 Mile,1604,4.27
1189 FLIPPEN RD,Powhatan County,POWHATAN,37.48176683,-78.11754566,2019-06-04,23139,3.0 - 5.0 Mile,1663,4.35
6444 BLENHEIM RD,Powhatan County,POWHATAN,37.52642355,-78.10426432,2019-06-04,23139,1.0 - 2.0 Mile,416,1.39
6688 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47963182,-78.12558879,2019-06-04,23139,3.0 - 5.0 Mile,1803,4.53
6699 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47779013,-78.12521505,2019-06-04,23139,3.0 - 5.0 Mile,1912,4.65
6391 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48007781,-78.09863538,2019-06-04,23139,3.0 - 5.0 Mile,1837,4.57
1205 FLIPPEN RD,Powhatan County,POWHATAN,37.48401124,-78.11917312,2019-06-04,23139,3.0 - 5.0 Mile,1554,4.20
1181 FLIPPEN RD,Powhatan County,POWHATAN,37.4817474,-78.11644205,2019-06-04,23139,3.0 - 5.0 Mile,1666,4.35
6695 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47849709,-78.12581581,2019-06-04,23139,3.0 - 5.0 Mile,1865,4.61
6464 BLENHEIM RD,Powhatan County,POWHATAN,37.52701375,-78.10620906,2019-06-04,23139,1.0 - 2.0 Mile,398,1.32
6530 BLENHEIM RD,Powhatan County,POWHATAN,37.53314001,-78.11055479,2019-06-04,23139,0.50 - 1.0 Mile,273,0.86
6360 HALEFORD DR,Powhatan County,POWHATAN,37.5366236,-78.09725611,2019-06-04,23139,0.50 - 1.0 Mile,304,0.96
6697 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47570075,-78.12513789,2019-06-04,23139,3.0 - 5.0 Mile,2028,4.80
6486 BLENHEIM RD,Powhatan County,POWHATAN,37.53132319,-78.10793052,2019-06-04,23139,1.0 - 2.0 Mile,320,1.01
6380 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48232659,-78.09965173,2019-06-04,23139,3.0 - 5.0 Mile,1708,4.41
6693 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47734939,-78.1243769,2019-06-04,23139,3.0 - 5.0 Mile,1933,4.68
6680 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47778821,-78.12131703,2019-06-04,23139,3.0 - 5.0 Mile,1895,4.63
1189A FLIPPEN RD A,Powhatan County,POWHATAN,37.48178064,-78.11763694,2019-06-04,23139,3.0 - 5.0 Mile,1661,4.35
6484 BLENHEIM RD,Powhatan County,POWHATAN,37.52941237,-78.1072513,2019-06-04,23139,1.0 - 2.0 Mile,353,1.15
1201 FLIPPEN RD,Powhatan County,POWHATAN,37.48262547,-78.11744572,2019-06-04,23139,3.0 - 5.0 Mile,1625,4.29
6424 BLENHEIM RD,Powhatan County,POWHATAN,37.52455523,-78.10171499,2019-06-04,23139,1.0 - 2.0 Mile,480,1.55
6474 BLENHEIM RD,Powhatan County,POWHATAN,37.52827203,-78.10624078,2019-06-04,23139,1.0 - 2.0 Mile,378,1.24
6681 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47700451,-78.12288222,2019-06-04,23139,3.0 - 5.0 Mile,1956,4.69
1191 FLIPPEN RD,Powhatan County,POWHATAN,37.48174286,-78.11860496,2019-06-04,23139,3.0 - 5.0 Mile,1669,4.36
1193 FLIPPEN RD,Powhatan County,POWHATAN,37.48187543,-78.11940681,2019-06-04,23139,3.0 - 5.0 Mile,1658,4.35
6701 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47637343,-78.12614752,2019-06-04,23139,3.0 - 5.0 Mile,1992,4.76
1195 FLIPPEN RD,Powhatan County,POWHATAN,37.48277155,-78.11980723,2019-06-04,23139,3.0 - 5.0 Mile,1618,4.29
6494 BLENHEIM RD,Powhatan County,POWHATAN,37.53578757,-78.10414746,2019-06-04,23139,0.50 - 1.0 Mile,245,0.78
6496 BLENHEIM RD,Powhatan County,POWHATAN,37.53389424,-78.10148843,2019-06-04,23139,0.50 - 1.0 Mile,306,0.96
6544 BLENHEIM RD,Powhatan County,POWHATAN,37.53417558,-78.1121503,2019-06-04,23139,0.50 - 1.0 Mile,244,0.77
6399 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48082033,-78.10064237,2019-06-04,23139,3.0 - 5.0 Mile,1782,4.50
1246 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47935631,-78.12730701,2019-09-11,23139,3.0 - 5.0 Mile,1826,4.56
1244 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47959914,-78.12764595,2019-09-11,23139,3.0 - 5.0 Mile,1814,4.55
17B MULLINS LANE,Cumberland County,POWHATAN,37.47609157,-78.14309474,2019-09-11,23139,3.0 - 5.0 Mile,2173,4.97
911 OLD BUCKINGHAM ROAD,Cumberland County,CUMBERLAND,37.48054074,-78.15873444,2019-09-11,23040,3.0 - 5.0 Mile,2140,4.93
654 FRENCHS STORE ROAD,Cumberland County,CUMBERLAND,37.50144971,-78.14554648,2019-09-11,23040,3.0 - 5.0 Mile,996,3.36
79 BERGERS LANE,Cumberland County,CUMBERLAND,37.49714688,-78.14955522,2019-09-11,23040,3.0 - 5.0 Mile,1239,3.70
63 BERGERS LANE,Cumberland County,CUMBERLAND,37.49751043,-78.1498822,2019-09-11,23040,3.0 - 5.0 Mile,1221,3.68
150 BRANSFORD ROAD,Cumberland County,CUMBERLAND,37.48628673,-78.14752293,2019-09-11,23040,3.0 - 5.0 Mile,1693,4.39
11 RUSSELLS WAY,Cumberland County,CUMBERLAND,37.49329578,-78.15275307,2019-09-11,23040,3.0 - 5.0 Mile,1406,4.00
12 CHILE LANE,Cumberland County,CUMBERLAND,37.48657099,-78.16495379,2019-09-11,23040,3.0 - 5.0 Mile,1909,4.65
7 BOOKER LANE,Cumberland County,CUMBERLAND,37.49329674,-78.16081201,2019-09-11,23040,3.0 - 5.0 Mile,1510,4.14
844 FRENCHS STORE ROAD,Cumberland County,CUMBERLAND,37.49297259,-78.15994139,2019-09-11,23040,3.0 - 5.0 Mile,1512,4.14
927 FRENCHS STORE ROAD,Cumberland County,CUMBERLAND,37.48562821,-78.1625691,2019-09-11,23040,3.0 - 5.0 Mile,1921,4.67
292 GOSHEN ROAD,Cumberland County,CUMBERLAND,37.50177998,-78.16825194,2019-09-11,23040,3.0 - 5.0 Mile,1284,3.78
196 GOSHEN ROAD,Cumberland County,CUMBERLAND,37.50297974,-78.17508924,2019-09-11,23040,3.0 - 5.0 Mile,1353,3.91
62 STRAWBERRY HILL ROAD,Cumberland County,CUMBERLAND,37.4870305,-78.18031214,2019-09-11,23040,3.0 - 5.0 Mile,2204,4.99
43 STRAWBERRY HILL ROAD,Cumberland County,CUMBERLAND,37.48695789,-78.17831832,2019-09-11,23040,3.0 - 5.0 Mile,2146,4.94
6543 BLENHEIM ROAD,Cumberland County,POWHATAN,37.53346042,-78.11684829,2019-09-11,23139,0.50 - 1.0 Mile,250,0.79
6528 BLENHEIM ROAD,Cumberland County,POWHATAN,37.53299801,-78.11110255,2019-09-11,23139,0.50 - 1.0 Mile,275,0.86
274 FRENCHS STORE ROAD,Cumberland County,CUMBERLAND,37.52135358,-78.11960702,2019-09-11,23040,1.0 - 2.0 Mile,504,1.63
296 FRENCHS STORE ROAD,Cumberland County,CUMBERLAND,37.52096662,-78.12111358,2019-09-11,23040,1.0 - 2.0 Mile,522,1.67
123 FRENCHS STORE ROAD,Cumberland County,CUMBERLAND,37.5329082,-78.12025806,2019-09-11,23040,0.50 - 1.0 Mile,270,0.86
656 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.52988285,-78.17038698,2019-09-11,23040,2.0 - 3.0 Mile,638,2.39
92 OAK FOREST ROAD,Cumberland County,CUMBERLAND,37.53164924,-78.18696022,2019-09-11,23040,3.0 - 5.0 Mile,884,3.10
57 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52041943,-78.20848713,2019-09-11,23040,3.0 - 5.0 Mile,1790,4.50
23 NORTHFIELD ROAD,Cumberland County,CUMBERLAND,37.51433398,-78.20865116,2019-09-11,23040,3.0 - 5.0 Mile,1972,4.73
1112 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.516203,-78.21492343,2019-09-11,23040,3.0 - 5.0 Mile,2159,4.95
94 ALMOND LANE,Cumberland County,CUMBERLAND,37.50914807,-78.14844237,2019-09-11,23040,2.0 - 3.0 Mile,806,2.88
169 JENKINS CHURCH ROAD,Cumberland County,CUMBERLAND,37.53488713,-78.21687075,2019-09-11,23040,3.0 - 5.0 Mile,1836,4.57
214 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.53090942,-78.1980058,2019-09-11,23040,3.0 - 5.0 Mile,1216,3.67
206 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.53029976,-78.19867002,2019-09-11,23040,3.0 - 5.0 Mile,1253,3.72
181 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52953331,-78.20124954,2019-09-11,23040,3.0 - 5.0 Mile,1334,3.87
20 PURKEY LANE,Cumberland County,CUMBERLAND,37.52979081,-78.20304852,2019-09-11,23040,3.0 - 5.0 Mile,1381,3.96
19 PURKEY LANE,Cumberland County,CUMBERLAND,37.52913056,-78.20316583,2019-09-11,23040,3.0 - 5.0 Mile,1394,3.98
9 PURKEY LANE,Cumberland County,CUMBERLAND,37.52893998,-78.2018654,2019-09-11,23040,3.0 - 5.0 Mile,1358,3.92
170 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52810511,-78.20170328,2019-09-11,23040,3.0 - 5.0 Mile,1367,3.94
157 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52829613,-78.20343962,2019-09-11,23040,3.0 - 5.0 Mile,1416,4.02
42 JENKINS CHURCH ROAD,Cumberland County,CUMBERLAND,37.52802474,-78.20709579,2019-09-11,23040,3.0 - 5.0 Mile,1560,4.21
902 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.52428346,-78.19808533,2019-09-11,23040,3.0 - 5.0 Mile,1337,3.88
10 JENKINS CHURCH ROAD,Cumberland County,CUMBERLAND,37.52525419,-78.20675251,2019-09-11,23040,3.0 - 5.0 Mile,1605,4.27
94 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.5234972,-78.20575137,2019-09-11,23040,3.0 - 5.0 Mile,1606,4.27
93 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52361298,-78.20745283,2019-09-11,23040,3.0 - 5.0 Mile,1665,4.35
101 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52446871,-78.20730723,2019-09-11,23040,3.0 - 5.0 Mile,1646,4.32
122 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52611426,-78.21738883,2019-09-11,23040,3.0 - 5.0 Mile,2013,4.78
124 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52627922,-78.2174985,2019-09-11,23040,3.0 - 5.0 Mile,2018,4.78
97 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52441206,-78.21574073,2019-09-11,23040,3.0 - 5.0 Mile,1983,4.74
80 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52454464,-78.2138016,2019-09-11,23040,3.0 - 5.0 Mile,1904,4.64
73 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52369699,-78.21445103,2019-09-11,23040,3.0 - 5.0 Mile,1958,4.70
69 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52325838,-78.21397882,2019-09-11,23040,3.0 - 5.0 Mile,1944,4.69
68 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52394326,-78.21341617,2019-09-11,23040,3.0 - 5.0 Mile,1903,4.64
66 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52371937,-78.21306161,2019-09-11,23040,3.0 - 5.0 Mile,1887,4.63
48 FOREST ACRES LANE,Cumberland County,CUMBERLAND,37.52292802,-78.21215996,2019-09-11,23040,3.0 - 5.0 Mile,1864,4.61
69 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52170826,-78.20797251,2019-09-11,23040,3.0 - 5.0 Mile,1733,4.44
65 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.52146374,-78.20808323,2019-09-11,23040,3.0 - 5.0 Mile,1748,4.45
357 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.53715084,-78.14299464,2019-09-11,23040,0.50 - 1.0 Mile,308,0.97
365 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.53694392,-78.14364571,2019-09-11,23040,1.0 - 2.0 Mile,316,1.01
19 BRUMSKILL COU*,Cumberland County,POWHATAN,37.47826354,-78.13493536,2019-09-11,23139,3.0 - 5.0 Mile,1960,4.71
1150 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47876096,-78.13611685,2019-09-11,23139,3.0 - 5.0 Mile,1947,4.69
1152 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47813817,-78.13610148,2019-09-11,23139,3.0 - 5.0 Mile,1974,4.73
35 BRUMSKILL COU*,Cumberland County,POWHATAN,37.47666755,-78.13478166,2019-09-11,23139,3.0 - 5.0 Mile,2040,4.81
25 BRUMSKILL COU*,Cumberland County,POWHATAN,37.47774131,-78.13527156,2019-09-11,23139,3.0 - 5.0 Mile,1985,4.75
27 BRUMSKILL COU*,Cumberland County,POWHATAN,37.47732096,-78.13526284,2019-09-11,23139,3.0 - 5.0 Mile,2010,4.78
17 BRUMSKILL COU*,Cumberland County,POWHATAN,37.47822191,-78.13534458,2019-09-11,23139,3.0 - 5.0 Mile,1965,4.72
1151 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.4802632,-78.1362291,2019-09-11,23139,3.0 - 5.0 Mile,1851,4.59
1147 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.4804188,-78.13679832,2019-09-11,23139,3.0 - 5.0 Mile,1848,4.59
1141 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.48006855,-78.13725967,2019-09-11,23139,3.0 - 5.0 Mile,1878,4.62
1139 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.48040115,-78.13821416,2019-09-11,23139,3.0 - 5.0 Mile,1867,4.61
1123 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.48000695,-78.13920514,2019-09-11,23139,3.0 - 5.0 Mile,1908,4.65
1121 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47971797,-78.13972122,2019-09-11,23139,3.0 - 5.0 Mile,1929,4.68
1144 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47666382,-78.13776536,2019-09-11,23139,3.0 - 5.0 Mile,2065,4.85
1108 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47835578,-78.14018209,2019-09-11,23139,3.0 - 5.0 Mile,2009,4.77
1102 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47745791,-78.14126195,2019-09-11,23139,3.0 - 5.0 Mile,2062,4.85
1096 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47581077,-78.14138356,2019-09-11,23139,3.0 - 5.0 Mile,2164,4.96
1053 OLD BUCKINGHAM ROAD,Cumberland County,POWHATAN,37.47685606,-78.14484884,2019-09-11,23139,3.0 - 5.0 Mile,2152,4.95
17A MULLINS LANE,Cumberland County,POWHATAN,37.47609157,-78.14309474,2019-09-11,23139,3.0 - 5.0 Mile,2173,4.97
943 OLD BUCKINGHAM ROAD,Cumberland County,CUMBERLAND,37.47924717,-78.15617808,2019-09-11,23040,3.0 - 5.0 Mile,2196,4.98
28 THE WOO*,Cumberland County,CUMBERLAND,37.53575436,-78.14370837,2019-09-11,23040,1.0 - 2.0 Mile,334,1.08
32 THE WOO*,Cumberland County,CUMBERLAND,37.53520102,-78.14392768,2019-09-11,23040,1.0 - 2.0 Mile,342,1.12
42 THE WOO*,Cumberland County,CUMBERLAND,37.53463699,-78.14361102,2019-09-11,23040,1.0 - 2.0 Mile,348,1.14
53 THE WOO*,Cumberland County,CUMBERLAND,37.53418975,-78.14287185,2019-09-11,23040,1.0 - 2.0 Mile,355,1.15
57 THE WOO*,Cumberland County,CUMBERLAND,37.53336268,-78.1426705,2019-09-11,23040,1.0 - 2.0 Mile,364,1.20
71 THE WOO*,Cumberland County,CUMBERLAND,37.53276259,-78.14244527,2019-09-11,23040,1.0 - 2.0 Mile,375,1.23
75 THE WOO*,Cumberland County,CUMBERLAND,37.53202919,-78.14319003,2019-09-11,23040,1.0 - 2.0 Mile,388,1.30
52 THE WOO*,Cumberland County,CUMBERLAND,37.53402052,-78.14397889,2019-09-11,23040,1.0 - 2.0 Mile,363,1.19
58 THE WOO*,Cumberland County,CUMBERLAND,37.53343088,-78.14420977,2019-09-11,23040,1.0 - 2.0 Mile,372,1.23
68 THE WOO*,Cumberland County,CUMBERLAND,37.53283285,-78.14466877,2019-09-11,23040,1.0 - 2.0 Mile,386,1.28
74 THE WOO*,Cumberland County,CUMBERLAND,37.53231511,-78.14464841,2019-09-11,23040,1.0 - 2.0 Mile,393,1.31
450 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.53554173,-78.15161284,2019-09-11,23040,1.0 - 2.0 Mile,406,1.36
452 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.53528136,-78.15264047,2019-09-11,23040,1.0 - 2.0 Mile,424,1.41
466 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.53496693,-78.1538166,2019-09-11,23040,1.0 - 2.0 Mile,450,1.47
472 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.53478753,-78.15458153,2019-09-11,23040,1.0 - 2.0 Mile,466,1.51
296 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.53688247,-78.19351238,2019-09-11,23040,3.0 - 5.0 Mile,958,3.30
90 OAK FOREST ROAD,Cumberland County,CUMBERLAND,37.53113828,-78.18854693,2019-09-11,23040,3.0 - 5.0 Mile,919,3.19
289 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.53659916,-78.19442674,2019-09-11,23040,3.0 - 5.0 Mile,987,3.35
283 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.53619954,-78.19478134,2019-09-11,23040,3.0 - 5.0 Mile,1005,3.38
277 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.53586977,-78.19497681,2019-09-11,23040,3.0 - 5.0 Mile,1017,3.40
246 CARTERSVILLE ROAD,Cumberland County,CUMBERLAND,37.53221437,-78.19445339,2019-09-11,23040,3.0 - 5.0 Mile,1063,3.46
73 OAK FOREST ROAD,Cumberland County,CUMBERLAND,37.52965666,-78.18944705,2019-09-11,23040,3.0 - 5.0 Mile,953,3.28
27 OAK FOREST ROAD,Cumberland County,CUMBERLAND,37.52699377,-78.18802557,2019-09-11,23040,3.0 - 5.0 Mile,961,3.30
700 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.53018185,-78.17672623,2019-09-11,23040,2.0 - 3.0 Mile,735,2.66
21 OAK FOREST ROAD,Cumberland County,CUMBERLAND,37.52566208,-78.18722333,2019-09-11,23040,3.0 - 5.0 Mile,970,3.31
759 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.52491882,-78.18175481,2019-09-11,23040,3.0 - 5.0 Mile,882,3.09
687 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.52717135,-78.17513129,2019-09-11,23040,2.0 - 3.0 Mile,751,2.71
665 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.52749256,-78.17304307,2019-09-11,23040,2.0 - 3.0 Mile,711,2.61
663 ANDERSON HIG*,Cumberland County,CUMBERLAND,37.52683504,-78.17173454,2019-09-11,23040,2.0 - 3.0 Mile,703,2.58
